ID,step,angle,x,y
O_1,3.605551275463989,NA,146,117
O_1,3,-2.1587989303424635,143,115
O_1,3.605551275463989,2.5535900500422257,143,118
O_1,2.23606797749979,-1.4464413322481349,141,115
O_1,5,2.0344439357957027,139,116
O_1,3.605551275463989,-2.1587989303424635,139,111
O_1,1.4142135623730951,-1.7681918866447774,136,113
O_1,3.1622776601683795,NA,137,114
O_1,4,-1.8925468811915387,138,111
O_1,9.219544457292887,NA,134,111
O_1,2.23606797749979,-2.896613990462929,125,109
O_1,4.123105625617661,0.8621700546672264,127,110
O_1,5.385164807134504,2.1962813670341257,128,114
O_1,5,-0.3805063771123649,123,112
O_1,3.605551275463989,2.5535900500422257,118,112
O_1,7.280109889280518,-2.831889709047337,121,110
O_1,4.47213595499958,-0.828849058788979,114,112
O_1,4,2.677945044588987,112,116
O_1,5.385164807134504,-2.761086276477428,112,112
O_1,13.92838827718412,-1.5841288700890424,110,117
O_1,17.204650534085253,-2.888517001425191,123,122
O_1,2.8284271247461903,1.7359450042095235,109,112
O_1,2.23606797749979,-0.32175055439664213,111,110
O_1,9.055385138137417,-0.3529903878269105,112,108
O_1,2.23606797749979,2.567287823415091,113,99
O_1,2,NA,114,101
O_1,4.123105625617661,0.244978663126864,114,99
O_1,3.605551275463989,1.9138202672156002,115,95
O_1,5,NA,118,97
O_1,2,0.6435011087932844,122,94
O_1,6.082762530298219,2.976443976175166,124,94
O_1,8.602325267042627,1.115695518226702,118,95
O_1,2,-0.9505468408120752,113,88
O_1,5,-1.5707963267948966,111,88
O_1,2,-1.5707963267948966,111,93
O_1,7,3.141592653589793,113,93
O_1,4,-1.5707963267948966,106,93
O_1,4.123105625617661,0.24497866312686423,106,97
O_1,2,-1.8157749899217608,105,101
O_1,5.385164807134504,-2.761086276477428,107,101
O_1,12.529964086141668,0.11884034456776504,102,99
O_1,5.385164807134504,-0.11884034456776504,91,93
O_1,7.280109889280518,2.4827866174723168,86,91
O_1,5,-2.8632929945846817,93,89
O_1,2.23606797749979,-2.0344439357957027,88,89
O_1,9.219544457292887,-1.9693187724613168,89,91
O_1,4.47213595499958,1.3258176636680326,95,84
O_1,26,3.0727361642887483,99,86
O_1,8.06225774829855,1.695151321341658,75,76
O_1,3,-2.089942441041419,79,69
O_1,3,3.141592653589793,76,69
O_1,4.123105625617661,-1.8157749899217608,79,69
O_1,6.324555320336759,-0.07677189126977813,78,65
O_1,4.47213595499958,NA,76,59
O_1,2.8284271247461903,-2.819842099193151,72,57
O_1,4.47213595499958,1.8925468811915387,74,59
O_1,5.830951894845301,-0.5667292175235064,70,61
O_1,6.4031242374328485,1.9264322110956567,67,66
O_1,2,2.2455372690184494,63,61
O_1,2.8284271247461903,-0.7853981633974483,65,61
O_1,5.385164807134504,-0.4048917862850834,67,59
O_1,11.40175425099138,-2.2175547530581863,69,54
O_1,7,0.26625204915092526,58,57
O_1,4,0,51,57
O_1,3.605551275463989,0.588002603547567,47,57
O_1,4.47213595499958,-1.051650212548374,44,55
O_1,17.029386365926403,2.9029833310815922,40,57
O_1,5.830951894845301,1.7326337580333195,53,46
O_1,4.242640687119285,2.896613990462929,56,51
O_1,6,0.7853981633974483,53,48
O_1,7,NA,53,42
O_1,6,1.5707963267948966,46,42
O_1,7.280109889280518,-0.27829965900511144,46,36
O_1,15.556349186104045,-2.0778948311872334,44,29
O_1,2,2.356194490192345,33,40
O_1,18.384776310850235,-0.39060704369768695,33,38
O_1,3.605551275463989,-1.768191886644777,26,21
O_1,9.055385138137417,0.47734538237367197,23,23
O_1,2,-3.0309354324158977,14,24
O_1,5.830951894845301,-1.0303768265243125,16,24
O_1,2,2.601173153319209,19,19
O_1,3.605551275463989,0.5880026035475674,19,21
O_1,5.0990195135927845,1.18018928309721,17,24
O_1,8.94427190999916,1.8370483759458223,12,23
O_1,5.385164807134504,-0.844153986113171,16,15
O_1,6.4031242374328485,-2.086345334253876,14,10
O_1,4.47213595499958,-1.7818896600176433,10,15
O_1,5.385164807134504,2.297438667476622,14,17
O_1,11.045361017187261,-1.0996300624817865,9,19
O_1,9.899494936611665,-0.8760580505981934,8,30
O_1,3,2.356194490192345,15,37
O_1,3.605551275463989,2.1587989303424644,12,37
O_1,6.4031242374328485,-3.0548543149138077,14,34
O_1,2.8284271247461903,1.6814535479687915,10,39
O_1,11.40175425099138,0.5191461142465228,8,37
O_1,4,0.2662520491509255,5,26
O_1,9,0,5,22
O_1,6.4031242374328485,0.6747409422235526,5,13
O_1,8.246211251235321,-0.9197196053504169,9,8
O_1,7,-1.3258176636680323,7,0
O_2,6.4031242374328485,NA,0,0
O_2,2,-0.6747409422235526,5,4
O_2,2,1.5707963267948966,7,4
O_2,15.132745950421556,-1.7033478590915705,7,6
O_2,5,NA,22,4
O_2,4.47213595499958,-2.961739153797315,25,8
O_2,5,-2.0344439357957027,23,4
O_2,6.4031242374328485,0.031239833430268593,20,8
O_2,2.23606797749979,-2.7091848780192556,16,13
O_2,7.0710678118654755,-2.536047989984823,18,12
O_2,3,2.999695598985629,11,11
O_2,4.47213595499958,1.1071487177940904,14,11
O_2,4.47213595499958,-1.5707963267948966,16,15
O_2,4.123105625617661,2.279422598922567,20,13
O_2,8.246211251235321,-2.060753653048625,19,17
O_2,3,-1.3258176636680323,27,15
O_2,6,-1.5707963267948966,27,12
O_2,8.94427190999916,-2.677945044588987,21,12
O_2,6.082762530298219,2.51279636717436,29,16
O_2,2.8284271247461903,NA,23,17
O_2,13.038404810405298,-1.7894652726688385,25,19
O_2,2,-0.5667292175235064,32,8
O_2,5.385164807134504,-1.9513027039072615,32,6
O_2,9.055385138137417,-1.3009471708564273,27,8
O_2,4.47213595499958,-0.3529903878269105,28,17
O_2,2,0.46364760900080615,30,21
O_2,9.055385138137417,3.0309354324158972,30,23
O_2,11.40175425099138,2.9859978256127633,29,14
O_2,11.40175425099138,NA,32,25
O_2,5,-1.304544277643971,39,16
O_2,6.4031242374328485,-0.2525542757780599,36,12
O_2,117.01709276853532,-2.228444916620732,31,8
O_2,1,1.5537039743971797,29,125
O_2,2.23606797749979,2.0344439357957027,28,125
O_2,2.8284271247461903,0.32175055439664213,29,123
O_2,6.708203932499369,NA,31,121
O_2,6.082762530298219,-2.843093722003614,37,118
O_2,10.198039027185569,0.36254423726450735,31,119
O_2,8.54400374531753,-2.126962556915349,21,117
O_2,2.8284271247461903,-1.9974238199217726,24,125
O_2,2.8284271247461903,-1.5707963267948966,26,123
O_2,7,2.356194490192345,24,121
O_2,6.324555320336759,0.3217505543966422,31,121
O_2,9.899494936611665,-2.677945044588987,37,123
O_2,4,0.7853981633974483,30,116
O_2,9.219544457292887,0.8621700546672263,30,112
O_2,8.94427190999916,1.8157749899217608,37,106
O_2,2.23606797749979,0,41,114
O_2,4,0.46364760900080615,42,116
O_2,4.47213595499958,-2.0344439357957027,42,120
O_2,4.47213595499958,3.141592653589793,46,118
O_2,10.198039027185569,2.231839495645583,42,120
O_2,6.324555320336759,-3.0172376590430314,44,110
O_2,9,NA,42,116
O_2,5.656854249492381,2.356194490192345,33,116
O_2,4.47213595499958,-1.8925468811915387,37,112
O_2,7.280109889280518,-0.1853479499956947,33,110
O_2,62.96824596572466,2.044199723841217,26,108
O_2,5.656854249492381,-3.107897546243777,69,62
O_2,9.219544457292887,0.5667292175235064,65,66
O_2,6.4031242374328485,0.8934098880974943,56,68
O_2,5.0990195135927845,-0.8721365020734329,51,64
O_2,9.486832980505138,0.5191461142465226,46,65
O_2,1,2.819842099193151,37,62
O_2,4.242640687119285,2.356194490192345,38,62
O_2,8.602325267042627,-2.976443976175166,35,65
O_2,10.816653826391969,1.208252089530389,42,60
O_2,13.038404810405298,-1.5920697128189576,51,66
O_2,9,1.0040671092713902,58,55
O_2,44.553338819890925,-2.340322807200555,67,55
O_2,22.02271554554524,-0.8466931258108152,36,23
O_2,6.324555320336759,1.9379701606131157,14,24
O_2,5,0.6055446636049701,16,18
O_2,8,-0.9272952180016122,20,15
O_2,7.280109889280518,-0.27829965900511144,20,7
O_2,12.083045973594572,-2.4366655014578056,18,0
O_2,4.47213595499958,-3.104572537715863,13,11
O_2,10,-2.961739153797315,15,7
O_2,4.123105625617661,1.1722738811284765,9,15
O_2,5,-0.24497866312686423,5,14
O_3,2.23606797749979,NA,2,22
O_3,6,-1.1071487177940904,3,24
O_3,5.656854249492381,-2.356194490192345,9,24
O_3,1,-0.7853981633974483,5,20
O_3,1,1.5707963267948966,4,20
O_3,1.4142135623730951,2.356194490192345,4,19
O_3,1,-2.356194490192345,5,20
O_3,4.47213595499958,0.46364760900080615,5,19
O_3,7.280109889280518,-1.7561442767905913,7,15
O_3,9,1.2924966677897851,0,13
O_3,4,0,0,4
O_3,6.324555320336759,2.819842099193151,0,0
O_3,2.23606797749979,-0.7853981633974483,2,6
O_3,4,1.1071487177940904,4,7
O_3,2,3.141592653589793,4,11
O_3,2.8284271247461903,-0.7853981633974483,4,9
O_3,9.055385138137417,2.4668517113662407,2,7
O_3,3,1.460139105621001,11,8
O_3,3.605551275463989,-0.982793723247329,11,11
O_3,1,NA,14,13
O_3,2.23606797749979,-2.0344439357957027,13,13
O_3,4,-1.1071487177940904,14,15
O_3,4,0,18,15
O_3,2.8284271247461903,-2.356194490192345,22,15
O_3,11.180339887498949,-2.819842099193151,20,13
O_3,5,1.3909428270024184,25,23
O_3,5.656854249492381,-1.7126933813990606,21,26
