model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,2.4863 _ 1.8593,5.4759 _ 3.6922,2700.1957594383684,5414.391518876737,2.053855774450742,4.707533848058057,1.0546969573245806,14.446007070608832
gamma,10.6137 _ 2.6964,11.1969 _ 8.9245,191.12279788626745,396.2455957725349,2.0000000809849405,1.34537310274826e-7,5.935492497602599,4.52226322713344
lnorm,1.2714 _ 0.8081,1.3846 _ 1.7587,1537.3232162843444,3088.646432568689,1.4978662295385734,1.1881681322127942e-7,1.4302223142982584,0.6301089727608798
