States,model,pr_st1_p1,pr_st1_p2,pr_st2_p1,pr_st2_p2,minNegL,AIC,s1_p1,s1_p2,s2_p2,s2_p2
2,weibull,1.03,11.53,22.97,4.89,1079.15,2172.3,2.42,3.87,1.46,10.12
2,gamma,3.06,3.08,5.96,5.12,1059.92,2133.84,10.03,6.41,3.47,1.56
1,weibull,5.71,19.1,NA,NA,1169.82,2343.64,1.47,4.66,NA,NA
1,gamma,3.63,2.32,NA,NA,1119.84,2243.68,4.17,2.47,NA,NA
