"","model","prior_par0_st1","prior_par1_st1","minNegLike","AIC_model","st1_par0","st1_par1","farm","prior_par0_st2","prior_par1_st2","st2_par0","st2_par1","states"
"1","weibull",2.2631,9.9892,1169.81797955502,2343.63595911004,1.4720432151447,4.66340568617615,"C",NA,NA,NA,NA,1
"2","gamma",7.7929,7.3463,1119.84242212907,2243.68484425813,4.16860637579141,2.47085703889793,"C",NA,NA,NA,NA,1
"3","weibull",1.0843,2.5703,1721.75284439255,3447.5056887851,1.1619385296669,6.34852302535909,"E",NA,NA,NA,NA,1
"4","gamma",3.7653,9.0759,1673.66902988974,3351.33805977948,5.93869856156463,4.2912196393202,"E",NA,NA,NA,NA,1
"5","weibull",0.14,13.68,1079.15,2172.3,1.46,10.12,"C",1.39,7.67,2.42,3.87,2
"6","gamma",8.01,6.1,1059.92,2133.84,3.47,1.56,"C",8.49,8.06,10.03,6.41,2
"7","weibull",1.44,9.92,1571.22,3156.44,1.96,5.47,"E",0.86,13.83,0.97,21.25,2
"8","gamma",7.89,4.9,1552.71,3119.43,5.01,2.8,"E",0.48,8.46,32.95,30.91,2
