model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,2.4466 _ 0.2928,1.6479 _ 3.2414,2700.195764265764,5414.391528531528,2.0538614704266056,4.707524624466936,1.0546997384131618,14.445855980827568
weibull,0.0341 _ 1.6408,3.8073 _ 4.053,2700.1957621818847,5414.391524363769,1.0546996366608898,14.44595108973727,2.05385680572826,4.707530405483651
weibull,0.936 _ 2.6706,13.422 _ 9.6394,2700.195763949401,5414.391527898802,1.0546974730450864,14.445716605142646,2.053860393281921,4.707524401680382
weibull,1.3439 _ 1.2804,14.8149 _ 13.0865,2700.1957628688415,5414.391525737683,2.053850106740078,4.707540875801175,1.0546946726822903,14.446150300770094
weibull,0.6875 _ 1.794,9.3328 _ 3.6603,2700.19576195252,5414.39152390504,1.0546963810410233,14.44610980977579,2.053853941111074,4.7075343331796775
weibull,0.9169 _ 2.4733,10.0518 _ 1.2589,2700.1957621827664,5414.391524365533,1.054696342569798,14.446124239463664,2.053855890289076,4.707532150645688
weibull,0.8759 _ 1.1388,3.02 _ 14.9033,2700.1957614269627,5414.391522853925,2.0538521695081253,4.707536442518648,1.0546997956744033,14.446109723120191
weibull,2.3196 _ 2.4817,9.2321 _ 10.7752,2700.1957870402025,5414.391574080405,1.0546991661023306,14.445949195381528,2.053860952157791,4.707530537584717
weibull,2.1665 _ 0.8296,3.4664 _ 8.5126,2700.195763705482,5414.391527410964,2.0538582466220756,4.707530662475456,1.0546996426822703,14.445971815411575
weibull,2.553 _ 1.7909,5.9957 _ 3.2573,2700.195798905344,5414.391597810688,2.0538550507204776,4.707533199402788,1.0546910802658096,14.445821119599614
weibull,1.0775 _ 2.0234,14.4394 _ 1.9486,2700.1957641743347,5414.3915283486695,1.0546885744357792,14.445735493710503,2.053861776775803,4.707524491721802
weibull,2.2607 _ 2.3528,10.492 _ 13.9413,2700.1957617512467,5414.391523502493,2.0538549227013463,4.707534710380262,1.0546934036317412,14.445998308721856
weibull,0.1994 _ 1.5236,10.3636 _ 5.7532,2700.1957621440965,5414.391524288193,1.0546981919880223,14.446101432742939,2.0538561239800446,4.707534517194161
weibull,0.4927 _ 1.335,2.6644 _ 3.6473,2700.195762386218,5414.391524772436,1.054701422845833,14.446005748735187,2.053856594570915,4.707531548188393
weibull,2.5825 _ 1.2804,11.6629 _ 12.3834,2700.195765103258,5414.391530206516,2.053855854814407,4.707533576321827,1.0546967956847975,14.446061511903439
weibull,2.6538 _ 1.4797,7.1082 _ 3.16,2700.195760440206,5414.391520880412,2.0538573864529073,4.707529516778305,1.0547004848846993,14.445995037214999
weibull,0.4597 _ 0.3648,6.7866 _ 12.2651,2700.1957614297576,5414.391522859515,2.053855701319828,4.707530400805937,1.0546871980769912,14.445767210297962
weibull,1.7632 _ 1.6215,11.3955 _ 3.6133,2700.1958029812304,5414.391605962461,1.0546939918707683,14.4460931823497,2.05385343611137,4.70753606531136
weibull,2.6294 _ 0.4074,2.1668 _ 4.986,2700.1957634804335,5414.391526960867,2.053860079818451,4.707527995331411,1.0546957567781963,14.445868264162481
weibull,2.5839 _ 1.6327,13.5324 _ 6.0334,2700.1958026915,5414.391605383,2.0538560780639488,4.707532949174105,1.0546973899619163,14.445984836364053
weibull,0.1452 _ 1.7656,11.8184 _ 13.3649,2700.195759699569,5414.391519399138,1.0546978832530978,14.446045856467366,2.0538554633933783,4.707532420914875
weibull,0.5001 _ 1.4714,0.3011 _ 1.3769,2700.195759517793,5414.391519035586,1.0546973661934138,14.445957052252496,2.053856840693931,4.707530829917052
weibull,1.1707 _ 0.7216,10.6271 _ 10.7987,2700.1957596590128,5414.3915193180255,2.0538558107053615,4.707533350617469,1.0546975261748828,14.445995487117411
weibull,0.8678 _ 2.5609,1.8576 _ 11.27,2700.1958003799487,5414.391600759897,1.0547011163924613,14.445593004291384,2.0538686782203834,4.707515099797358
weibull,1.8407 _ 0.6042,4.2997 _ 6.2886,2700.1957597842406,5414.391519568481,2.053854992520245,4.707533577925051,1.0546951001639233,14.445945575382432
weibull,0.904 _ 2.0177,3.4272 _ 13.1716,2700.1957634365767,5414.391526873153,2.0538487539551618,4.707541817876824,1.054684850761694,14.44609899324689
weibull,0.3222 _ 0.7639,13.0184 _ 8.6705,2700.195807615877,5414.391615231754,1.0546939980421384,14.445885482810569,2.05385723128537,4.707530083985056
weibull,1.0177 _ 1.1753,7.7571 _ 1.0697,2700.1957647507575,5414.391529501515,1.0546960215231187,14.446202668769798,2.0538485207533697,4.707541522986591
weibull,1.7586 _ 2.2918,7.2382 _ 0.9316,2700.1957704707665,5414.391540941533,1.054697956603824,14.446229520120752,2.053854592381098,4.707537013916801
weibull,2.1585 _ 1.6039,12.1279 _ 10.8998,2700.1957595718927,5414.391519143785,2.053855563618383,4.707533566974494,1.0546971384993367,14.445984019108906
weibull,2.3101 _ 2.1864,14.6293 _ 11.5956,2700.195760124602,5414.391520249204,1.0546966305041903,14.44591302720594,2.0538545319849004,4.707532431423757
weibull,1.7381 _ 0.6198,7.3539 _ 11.3069,2700.195766457256,5414.391532914512,2.05385564364101,4.707532510776608,1.054698874681618,14.446028589202077
weibull,0.8421 _ 2.1051,8.9704 _ 4.1187,2700.195761885837,5414.391523771674,1.054701658277928,14.446121620735289,2.0538516836018275,4.707535774637497
weibull,0.2097 _ 0.191,2.0643 _ 1.1389,2700.1957597061096,5414.391519412219,1.0546950442003233,14.44597268982423,2.0538583927971095,4.707532443433397
weibull,0.1576 _ 2.3028,2.211 _ 9.81,2700.1957610607274,5414.391522121455,1.0546997024795417,14.445954780609554,2.0538540294671197,4.7075338559883795
weibull,1.3205 _ 1.0759,11.762 _ 0.9315,2700.1957648887164,5414.391529777433,1.0546987634924987,14.445982474062696,2.0538561915442672,4.7075285442956485
weibull,0.5726 _ 0.252,9.7106 _ 13.1301,2700.1957865897452,5414.3915731794905,2.053856118747785,4.707537169988557,1.0547008469313945,14.44613717442012
weibull,1.1861 _ 0.4891,1.946 _ 13.7858,2700.195761657542,5414.391523315084,2.053853628466572,4.707536530254479,1.05469359626387,14.446160834887827
weibull,2.5387 _ 1.0856,1.7792 _ 8.9541,2700.195759807952,5414.391519615904,2.053854734668246,4.707532072113639,1.0546942019406107,14.446018347923683
weibull,2.1412 _ 0.842,12.3529 _ 11.8128,2700.195760578414,5414.391521156828,2.0538577314691704,4.707528710761369,1.0547032014671203,14.445954986901219
weibull,2.6777 _ 2.3204,7.2751 _ 2.5939,17976931348623157e292,Inf,2.6777,7.275100000000001,2.3204,2.5939
weibull,1.5642 _ 0.0042,9.9309 _ 8.1126,2700.195759984493,5414.391519968986,2.0538556639615675,4.707532405956636,1.0546987957215768,14.44592628076128
weibull,2.1147 _ 2.6272,1.1201 _ 14.0354,2700.195759812328,5414.391519624656,2.05385444373988,4.7075287529798455,1.0546940844514223,14.44585465658947
weibull,2.0854 _ 0.9804,6.6773 _ 2.4824,2700.1957639891016,5414.391527978203,2.0538555555274995,4.707532819640564,1.0546983561774816,14.44598990741589
weibull,1.6784 _ 2.4778,2.6459 _ 6.5019,2700.19575944275,5414.3915188855,1.0546968958390002,14.445960070954792,2.05385643492054,4.707532111166414
weibull,0.4938 _ 0.1467,7.731 _ 1.744,2700.1957977502316,5414.391595500463,2.053856742963877,4.7075309218639605,1.0546971772887024,14.44597102170184
weibull,2.5441 _ 0.4829,11.2243 _ 11.3314,2700.1957606823657,5414.3915213647315,1.0546961201444256,14.44585390449003,2.0538621240785306,4.707530284692792
