model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,1.7588 _ 2.4304,4.1593 _ 5.334,2700.19575944039,5414.39151888078,1.054695246306184,14.445968050865012,2.0538555301388866,4.7075323665677
gamma,13.8781 _ 10.646,5.272 _ 11.7981,2659.2413659710387,5332.482731942077,17.342271994659974,15.183110133234138,4.280468840022441,2.2513193304989976
lnorm,0.0728 _ 5.2401,1.9581 _ 0.9416,2625.2595589829507,5264.519117965901,1.2234379412725134,0.5244285754665068,1.745619663284089,0.7161292112742075
