model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,1.7588 _ 2.4304,4.1593 _ 5.334,2700.19575944039,5414.39151888078,1.05469524630618,14.445968050865,2.05385553013889,4.7075323665677
gamma,13.8781 _ 10.646,5.272 _ 11.7981,2659.24136597104,5332.48273194208,17.34227199466,15.1831101332341,4.28046884002244,2.251319330499
lnorm,0.0728 _ 5.2401,1.9581 _ 0.9416,2625.25955898295,5264.5191179659,1.22343794127251,0.524428575466507,1.74561966328409,0.716129211274208
