model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,2.4863 _ 1.8593,5.4759 _ 3.6922,2700.1957594383684,5414.391518876737,2.053855774450742,4.707533848058057,1.0546969573245806,14.446007070608832
gamma,4.8484 _ 8.1161,9.1001 _ 10.4365,2659.2413659502536,5332.482731900507,4.280485348906638,2.2513361647773307,17.342768173653013,15.183598287692172
lnorm,2.1913 _ -0.4793,2.9106 _ 0.793,2114.4896039325263,4242.979207865053,1.6094377935527047,1.2940467655197342e-7,1.4171430292026963,0.6345149129609278
