"","farm","state","meanDistance","sdDistance","minDistance","maxDistance","numStates"
"1","C","Búsqueda",13.8490646437512,7.36055106584965,7.21110255092798,44.2718872423573,32
"2","C","Cosecha",3.52054233231852,1.60878331182168,1,8.60232526704263,478
"3","O","Búsqueda",53.0802843129943,37.2817885699822,21.3775583264319,117.017092768535,11
"4","O","Cosecha",5.09414265273991,3.07903565573973,1,18.3847763108502,614
