"","farm","medianDistance","meanDistance","sdDistance","minDistance","maxDistance","numStates"
"1","C",3.16227766016838,4.16860647734959,3.46568562543698,1,44.2718872423573,510
"2","O",4.47213595499958,5.93869874596039,8.45372118346025,1,117.017092768535,625
